Date,AAPL,MSFT,AMZN,GOOGL,NVDA,TSLA,META,JPM
2014-01-02,17.19282341003418,30.939619064331055,19.898500442504883,27.723312377929688,0.3739319145679474,10.006667137145996,54.4533576965332,42.799339294433594
2014-01-03,16.815160751342773,30.731462478637695,19.82200050354004,27.521076202392578,0.36945220828056335,9.970666885375977,54.30406951904297,43.13019561767578
2014-01-06,16.906856536865234,30.08203887939453,19.681499481201172,27.827917098999023,0.37440332770347595,9.800000190734863,56.93168258666992,43.38018798828125
2014-01-07,16.785947799682617,30.315156936645508,19.901500701904297,28.364391326904297,0.3805333077907562,9.957332611083984,57.64830017089844,42.88021469116211
2014-01-08,16.892253875732422,29.773969650268555,20.09600067138672,28.423419952392578,0.3857203423976898,10.085332870483398,57.956844329833984,43.28459548950195
2014-01-09,16.67653465270996,29.582469940185547,20.050500869750977,28.149702072143555,0.37133845686912537,9.835332870483398,56.95158386230469,43.20371627807617
2014-01-10,16.565256118774414,30.007099151611328,19.882999420166016,28.148208618164062,0.3708668053150177,9.714667320251465,57.668212890625,43.00519943237305
2014-01-13,16.6519832611084,29.124536514282227,19.548999786376953,27.96888542175293,0.362143337726593,9.28933334350586,55.64773178100586,42.42435073852539
2014-01-14,16.983325958251953,29.790613174438477,19.87700080871582,28.62689971923828,0.3734603226184845,10.751333236694336,57.46915054321289,42.453758239746094
2014-01-15,17.324304580688477,30.6065731048584,19.793500900268555,28.607473373413086,0.3774683475494385,10.942000389099121,57.329803466796875,43.7404670715332
2014-01-16,17.227638244628906,30.714807510375977,19.790000915527344,28.7967586517334,0.37864717841148376,11.39799976348877,56.921730041503906,43.372840881347656
2014-01-17,16.805530548095703,30.290185928344727,19.980499267578125,28.655044555664062,0.37699681520462036,11.333999633789062,56.03590393066406,42.725807189941406
2014-01-21,17.066627502441406,30.115331649780273,20.352500915527344,28.983055114746094,0.3784114718437195,11.778667449951172,58.235530853271484,42.76992416381836
2014-01-22,17.142471313476562,29.915517807006836,20.226999282836914,29.015932083129883,0.37793993949890137,11.904000282287598,57.24022674560547,42.343475341796875
2014-01-23,17.287626266479492,30.02375030517578,19.993499755859375,28.893394470214844,0.376525342464447,12.100000381469727,56.36435317993164,41.519989013671875
2014-01-24,16.97338104248047,30.648208618164062,19.3799991607666,27.990055084228516,0.36685872077941895,11.640000343322754,54.194583892822266,40.50532913208008
2014-01-27,17.111074447631836,29.998777389526367,19.31399917602539,27.427181243896484,0.3645009994506836,11.307999610900879,53.29880142211914,40.50532913208008
2014-01-28,15.743433952331543,30.19859504699707,19.721500396728516,27.96963119506836,0.3680375814437866,11.892000198364258,54.881343841552734,40.9832649230957
2014-01-29,15.564701080322266,30.523313522338867,19.209999084472656,27.568893432617188,0.3645009994506836,11.682000160217285,53.278892517089844,40.8288459777832
2014-01-30,15.534552574157715,30.689838409423828,20.15049934387207,28.27796745300293,0.37063097953796387,12.189332962036133,60.79348373413086,41.174407958984375
2014-01-31,15.56004810333252,31.50579833984375,17.934499740600586,29.41318130493164,0.3701595664024353,12.093999862670898,62.276493072509766,40.70384979248047
2014-02-03,15.588948249816895,30.373432159423828,17.3075008392334,28.22915267944336,0.365208238363266,11.807332992553711,61.19160079956055,39.931819915771484
2014-02-04,15.81461238861084,30.265207290649414,17.397499084472656,28.34695816040039,0.36733028292655945,11.915332794189453,62.45564651489258,40.40238571166992
2014-02-05,15.932721138000488,29.823925018310547,17.322500228881836,28.472482681274414,0.3640293776988983,11.628000259399414,61.89826965332031,40.59355545043945
2014-02-06,16.02560043334961,30.123661041259766,17.72949981689453,28.889907836914062,0.36874496936798096,11.892000198364258,61.868412017822266,41.52733612060547
2014-02-07,16.249792098999023,30.44005584716797,18.054000854492188,29.32526206970215,0.37416768074035645,12.435333251953125,64.0182876586914,41.630271911621094
2014-02-10,16.540904998779297,30.639867782592773,18.043500900268555,29.212936401367188,0.37534645199775696,13.104000091552734,63.25189208984375,41.7184944152832
2014-02-11,16.758848190307617,30.947940826416016,18.089500427246094,29.64256477355957,0.3831269145011902,13.107999801635742,64.54579162597656,42.22582244873047
2014-02-12,16.757598876953125,31.197729110717773,17.462499618530273,29.55564308166504,0.396801620721817,13.021332740783691,64.14767456054688,42.29199981689453
2014-02-13,17.023700714111328,31.31428337097168,17.860000610351562,29.88465118408203,0.4092974066734314,13.308667182922363,67.01416015625,42.6669807434082
